contractidentifier,counterpartyidentifier,instrumentidentifier,contractdate,contractstatus
1,98,37,2020-03-29,Performing
2,58,66,2017-05-02,Performing
5,85,82,2020-09-11,Performing
6,34,45,2022-01-15,Performing
7,53,82,2018-04-03,Performing
8,6,14,2020-09-06,Performing
9,68,54,2016-01-21,Performing
10,42,13,2025-08-12,Performing
12,36,42,2016-07-29,Performing
16,73,2,2022-05-09,Performing
17,96,17,2021-01-09,Performing
18,42,34,2025-05-16,Performing
19,90,93,2017-04-18,Performing
20,73,6,2025-05-09,Performing
23,89,85,2019-07-23,Performing
25,35,15,2025-10-05,Performing
27,47,17,2024-03-14,Performing
28,91,73,2016-07-08,Performing
29,24,15,2021-07-06,Performing
35,74,49,2024-05-30,Performing
37,46,29,2016-08-31,Performing
40,1,61,2024-06-18,Performing
41,12,74,2020-05-20,Performing
43,83,23,2017-06-01,Performing
44,38,30,2016-12-25,Performing
45,32,30,2015-11-16,Performing
46,51,84,2021-02-11,Performing
47,75,44,2017-08-26,Performing
50,43,92,2020-07-09,Performing
51,98,12,2017-11-20,Performing
52,66,37,2021-02-18,Performing
53,53,24,2024-11-27,Performing
61,60,53,2024-09-12,Performing
63,29,98,2018-03-07,Performing
64,10,71,2018-12-09,Performing
69,73,64,2016-07-08,Performing
70,13,33,2016-10-17,Performing
72,65,16,2017-06-14,Performing
74,76,32,2015-11-25,Performing
76,3,28,2025-04-22,Performing
80,7,45,2015-11-12,Performing
83,16,16,2025-01-21,Performing
84,20,10,2024-08-14,Performing
85,31,65,2024-02-13,Performing
86,25,100,2023-09-24,Performing
87,44,96,2025-05-27,Performing
90,55,52,2022-05-30,Performing
95,58,50,2019-09-06,Performing
96,2,33,2016-12-16,Performing
97,26,2,2024-07-07,Performing
99,2,16,2016-10-15,Performing
100,98,89,2022-01-29,Performing
